City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
438,laela,-8.5667,32.05,15.73,92,93,1.23,TZ,1676234755
439,chaman,30.9236,66.4512,7.73,27,47,1.15,PK,1676234756
440,vestmanna,62.1564,-7.1664,7.51,93,100,5.66,FO,1676234756
441,omsukchan,62.5333,155.8,-32.37,100,100,1.59,RU,1676234757
442,timizart,36.8,4.2667,7.08,85,4,2.97,DZ,1676234757
443,villanueva de cordoba,38.3228,-4.6287,5.25,79,23,1.43,ES,1676234757
444,farah,32.5,62.5,8.17,35,100,0.97,AF,1676234758
445,bara,10.3744,10.7288,25.81,16,5,5.91,NG,1676234758
446,tonantins,-2.8731,-67.8022,27.71,90,79,0.21,BR,1676234759
447,northam,51.0333,-4.2167,6.88,90,8,6.46,GB,1676234760
448,safranbolu,41.2508,32.6942,-3.53,92,73,0.83,TR,1676234760
449,bowen,-20.0167,148.2333,25.25,75,7,2.18,AU,1676234760
450,valdivia,-39.8142,-73.2459,16.05,97,100,0.88,CL,1676234761
451,ballina,-28.8667,153.5667,23.77,99,77,2.28,AU,1676234761
452,pochutla,15.7432,-96.4661,29.9,41,0,3.46,MX,1676234762
453,rudnogorsk,57.2639,103.7519,-27.15,100,41,0.92,RU,1676234762
454,salinas,36.6777,-121.6555,17.77,56,0,3.09,US,1676234750
455,serov,59.6033,60.5787,-9.3,92,100,3.57,RU,1676234763
456,sajanan,37.0573,9.2426,4.51,78,8,0.48,TN,1676234764
457,coruripe,-10.1256,-36.1756,26.53,71,74,5.28,BR,1676234764
458,taybad,34.74,60.7756,5.62,45,74,5.41,IR,1676234764
459,kuandian,40.7286,124.7847,-7.64,83,21,2.67,CN,1676234765
460,wewak,-3.5534,143.6268,24.87,89,100,2.18,PG,1676234766
461,santa ana,33.7456,-117.8678,17.24,52,40,4.12,US,1676234703
462,bloemfontein,-29.1211,26.214,19.71,83,30,1.54,ZA,1676234584
463,hamilton,39.1834,-84.5333,13.57,20,0,5.14,US,1676234728
464,zhangye,38.9342,100.4517,-4.8,85,100,2.61,CN,1676234766
465,spring hill,28.4769,-82.5255,18.46,73,100,11.32,US,1676234632
466,lorengau,-2.0226,147.2712,27.27,82,100,3.61,PG,1676234767
467,ahtopol,42.1,27.95,3.94,71,99,7.97,BG,1676234767
468,zhuhai,22.2769,113.5678,22.84,88,40,5.14,CN,1676234768
469,qaqortoq,60.7167,-46.0333,-13.86,71,100,1.05,GL,1676234768
470,atambua,-9.1061,124.8925,22.97,91,97,1.97,ID,1676234769
471,mayakonda,14.2833,76.0833,22.04,32,19,3.65,IN,1676234769
472,bikaner,28.0167,73.3,13.78,11,0,3.77,IN,1676234770
473,mirnyy,62.5353,113.9611,-22.66,100,100,1.31,RU,1676234515
474,floro,61.5996,5.0328,8.31,87,75,9.77,NO,1676234770
475,hearst,49.6835,-83.6665,-3.86,93,100,2.23,CA,1676234522
476,pajapan,18.25,-94.7,16.09,70,94,3.75,MX,1676234771
477,batagay,67.6333,134.6333,-49.83,99,71,0.66,RU,1676234771
478,viedma,-40.8135,-62.9967,30.06,24,16,6.19,AR,1676234485
479,holme,56.1138,10.1725,7.76,87,28,5.67,DK,1676234772
480,gornopravdinsk,60.05,69.9,-15.31,96,99,3.6,RU,1676234772
481,whitehorse,60.7161,-135.0538,-2.57,86,75,4.63,CA,1676234772
482,steamboat springs,40.485,-106.8317,5.0,57,0,0.89,US,1676234773
483,oytal,42.9057,73.2697,-7.93,71,35,2.71,KZ,1676234774
484,magadan,59.5667,150.8,-19.67,97,56,3.34,RU,1676234774
485,pombas,17.1503,-25.0201,19.88,73,100,5.05,CV,1676234775
486,inhambane,-23.865,35.3833,26.09,88,97,5.9,MZ,1676234776
487,kongolo,-5.3833,27.0,20.82,96,99,0.15,CD,1676234778
488,hamada,34.8833,132.0833,9.66,95,100,5.5,JP,1676234778
489,hata,26.7461,83.7403,14.77,25,0,5.7,IN,1676234779
490,laizhou,37.1717,119.9214,-0.89,61,100,9.71,CN,1676234779
491,corpus christi,27.8006,-97.3964,20.09,51,75,5.66,US,1676234728
492,sokolo,14.7328,-6.1219,30.69,9,27,4.08,ML,1676234780
493,lubango,-14.9172,13.4925,17.6,66,27,1.19,AO,1676234781
494,puerto escondido,15.85,-97.0667,28.46,65,20,2.06,MX,1676234781
495,salekhard,66.53,66.6019,-15.11,94,27,4.83,RU,1676234782
496,nicoya,10.1483,-85.452,32.34,38,7,9.67,CR,1676234783
497,amga,60.8953,131.9608,-27.02,99,100,1.18,RU,1676234784
498,hua hin,12.5707,99.9588,24.12,78,44,2.51,TH,1676234785
499,hanna,51.6334,-111.9018,-1.75,78,61,3.13,CA,1676234785
500,benghazi,32.1167,20.0667,13.61,61,98,4.72,LY,1676234786
501,kalabo,-14.97,22.6814,23.11,63,99,1.81,ZM,1676234786
502,la union,-5.4,-80.75,30.55,48,43,8.33,PE,1676234787
503,houma,29.5958,-90.7195,17.78,37,1,4.53,US,1676234739
504,rudbar,30.15,62.6,12.67,26,75,2.64,AF,1676234789
505,kalanguy,51.0167,116.5167,-25.15,100,68,1.17,RU,1676234789
506,pierre,44.3683,-100.351,9.51,46,0,4.12,US,1676234706
507,portobelo,9.55,-79.65,25.06,82,24,7.5,PA,1676234789
508,nouadhibou,20.931,-17.0347,17.99,88,100,6.17,MR,1676234790
509,aquiraz,-3.9014,-38.3911,29.05,80,80,4.28,BR,1676234790
510,malumfashi,11.7853,7.6218,21.73,15,1,4.32,NG,1676234791
511,pangody,65.85,74.4859,-12.66,93,100,7.71,RU,1676234791
512,middleton,53.55,-2.2,6.9,84,0,1.68,GB,1676234728
513,la ronge,55.1001,-105.2842,0.14,64,75,4.63,CA,1676234792
514,kichera,55.9375,110.0997,-17.46,95,99,1.06,RU,1676234792
515,estreito,-5.7833,-43.25,28.83,57,100,1.66,BR,1676234792
516,maragogi,-9.0122,-35.2225,26.51,79,100,4.45,BR,1676234793
517,tsumeb,-19.2333,17.7167,25.33,30,34,3.17,NA,1676234793
518,medicine hat,50.0501,-110.6683,7.34,56,100,5.66,CA,1676234581
519,vilhena,-12.7406,-60.1458,31.12,51,40,3.6,BR,1676234794
520,kamenka,51.3223,42.7678,-6.63,97,98,2.31,RU,1676234794
521,pismo beach,35.1428,-120.6413,17.56,51,0,4.12,US,1676234795
522,norton,-17.8833,30.7,18.49,90,100,1.32,ZW,1676234796
523,ambon,-3.6954,128.1814,27.08,83,40,2.06,ID,1676234797
524,zambezi,-13.5432,23.1047,20.19,76,91,2.08,ZM,1676234798
525,sao felix do xingu,-6.6447,-51.995,25.71,94,38,1.31,BR,1676234798
526,fort nelson,58.8053,-122.7002,-3.36,75,100,0.89,CA,1676234548
527,gboko,7.3179,8.9951,29.93,11,73,1.6,NG,1676234798
528,baiyin,36.5583,104.2081,-6.82,83,100,5.08,CN,1676234799
529,reshetylivka,49.565,34.0782,-5.09,86,59,6.29,UA,1676234799
530,juneau,58.3019,-134.4197,4.56,97,100,4.63,US,1676234681
531,bukachacha,52.9833,116.9167,-23.39,97,16,1.35,RU,1676234800
532,mago,53.2514,140.1822,-30.11,100,91,0.84,RU,1676234801
533,westport,41.1415,-73.3579,8.66,47,0,0.45,US,1676234730
534,agadez,19.75,10.25,19.87,26,0,3.98,NE,1676234801
535,petersburg,37.2279,-77.4019,4.38,94,100,4.12,US,1676234601
536,sao joao da barra,-21.6403,-41.0511,27.05,89,100,5.09,BR,1676234801
537,monster,52.0258,4.175,7.99,78,100,1.54,NL,1676234802
538,camacari,-12.6975,-38.3242,29.87,73,27,3.6,BR,1676234803
539,altus,34.6381,-99.334,21.04,20,0,9.77,US,1676234804
540,vasai,19.47,72.8,28.05,31,6,3.97,IN,1676234804
541,walvis bay,-22.9575,14.5053,19.53,77,0,3.6,NA,1676234804
542,celestun,20.8667,-90.4,22.02,56,3,5.99,MX,1676234805
543,portland,45.5234,-122.6762,12.87,73,75,2.68,US,1676234742
